time,a1,a2,v1,v2,initial_a1,initial_a2
25.75,0.236739,-0.324668,0.15692,-0.106746,-0.00333333,1.01
25.875,0.234745,-0.240676,-0.202949,1.49383,-0.00333333,1.01
26,0.178413,0.0744657,-0.709028,3.56428,-0.00333333,1.01
26.125,0.0972246,0.473502,-0.450193,2.1932,-0.00333333,1.01
26.25,0.063045,0.62719,-0.126695,0.370296,-0.00333333,1.01
26.375,0.0631082,0.574769,0.136512,-1.2352,-0.00333333,1.01
26.5,0.104041,0.295705,0.551938,-3.33859,-0.00333333,1.01
26.625,0.174164,-0.137516,0.365824,-2.69466,-0.00333333,1.01
26.75,0.19019,-0.347458,-0.0727465,-0.787118,-0.00333333,1.01
26.875,0.160207,-0.346597,-0.409551,0.81968,-0.00333333,1.01
27,0.0822535,-0.120954,-0.869877,2.90576,-0.00333333,1.01
27.125,-0.0328179,0.267233,-0.761701,2.37104,-0.00333333,1.01
27.25,-0.100588,0.43224,-0.356352,0.39604,-0.00333333,1.01
27.375,-0.125268,0.380544,-0.0319451,-1.23372,-0.00333333,1.01
27.5,-0.102157,0.104192,0.436371,-3.29872,-0.00333333,1.01
27.625,-0.0398488,-0.335642,0.349106,-2.81,-0.00333333,1.01
27.75,-0.0227732,-0.556421,-0.0381836,-0.847672,-0.00333333,1.01
27.875,-0.0446315,-0.562027,-0.311617,0.764656,-0.00333333,1.01
28,-0.10541,-0.347874,-0.693603,2.77626,-0.00333333,1.01
28.125,-0.201392,0.05324,-0.631217,2.70761,-0.00333333,1.01
28.25,-0.249385,0.262887,-0.171139,0.769821,-0.00333333,1.01
28.375,-0.248884,0.262381,0.178962,-0.777323,-0.00333333,1.01
28.5,-0.200117,0.0525419,0.634077,-2.69622,-0.00333333,1.01
28.625,-0.104258,-0.345229,0.691395,-2.74518,-0.00333333,1.01
28.75,-0.0438607,-0.555229,0.307841,-0.730182,-0.00333333,1.01
28.875,-0.0225842,-0.5452,0.0324843,0.884246,-0.00333333,1.01
29,-0.0404133,-0.320081,-0.352876,2.83247,-0.00333333,1.01
29.125,-0.100914,0.112563,-0.407514,3.17673,-0.00333333,1.01
29.25,-0.120985,0.375624,0.0523893,1.14076,-0.00333333,1.01
29.375,-0.0937959,0.415851,0.377634,-0.491574,-0.00333333,1.01
29.5,-0.0230077,0.237917,0.785312,-2.46709,-0.00333333,1.01
29.625,0.0896815,-0.138594,0.811125,-2.63538,-0.00333333,1.01
29.75,0.161528,-0.335351,0.369444,-0.625767,-0.00333333,1.01
29.875,0.186517,-0.312902,0.0291757,0.978942,-0.00333333,1.01
